"heading","daysLeft","verified","price","numBids","description","skills"
"Wordpress Website Editor","6 days left","NOT VERIFIED.","$120 (Avg Bid)","49 bids","Looking for a Wordpress Guru who can edit website templates and integrate new features.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"E Commerce Website Build","6 days left","NOT VERIFIED.","$185 (Avg Bid)","63 bids","I'm looking for a PHP developer for making my E Commerce website in wordpress. I have the wordpress theme. Need to do customizations. PHP Experience is required. More details will be provided to the selected person.","[""eCommerce"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Need a Part -Time Wordpress Developer for Projects Company Profile don't bid i will report directly","6 days left","VERIFIED","$20 - $169","17 bids","Need a Part -Time Wordpress Developer for Projects Project Basis Money to be paid Company Profile don't bid i will report directly","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Wordpress Avada theme video slider help","6 days left","NOT VERIFIED.","$202 (Avg Bid)","32 bids","...site on Wordpress using an Avada theme. Have a video stream from Vimeo but can’t get it to feature with correct ratio on desktop and mobile. Need help with design of a page. currently using flip box element but not getting good results. Site is similar to [login to view URL] with video and our brands page. Can I get the same results with my site.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Improve website navigations appearance and mobile rendering","9 hours left","NOT VERIFIED.","$250","24 entries","Need help on a dev website that has the basic navigation structure in place, but the current version of the navigation does not look w...the implementation of the design as one project. If an actual designed layout of the navigation is not presented, the submission will not be considered. Using Ubermenu on . Site is [login to view URL]","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"wordpress developer","6 days left","VERIFIED","$168 (Avg Bid)","118 bids","need help to bring a site back to life and understand how to use wordpress to make small changes.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Fix all Google Search Console errors for Wordpress Site","6 days left","VERIFIED","$114 (Avg Bid)","41 bids","Hi Looking for an SEO and Wordpress expert to fix all of the current issues and errors that we are having on Google Web Master Tools - Search Console Please send a few examples of similar projects you did and respond with: ""I am an SEO and Wordpress expert!"" for me to read your offer thank you","[""Google Webmaster Tools"",""Internet Marketing"",""Link Building"",""SEO"",""WordPress""]"
"develop software and wordpress plugins","6 days left","VERIFIED","$60495 (Avg Bid)","41 bids","Need software like that: [login to view URL] Goal is to work on different products in software and wordpress plugins, together on a long term basis. Only write when you can make it work, need no beginner!!!!!!!!!!! No new Freelancer must show Reference and projects successful done. Thank You!","[""HTML"",""JavaScript"",""PHP"",""Software Architecture"",""WordPress""]"
"Wordpress make category and subcategory about my sample","6 days left","VERIFIED","$22 (Avg Bid)","17 bids","you have to copy the categories and sub-categories from the site [login to view URL] the homepage must be presented","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Customizations off the LC wel Private Content pluging","6 days left","VERIFIED","$18 / hr (Avg Bid)","32 bids","I have the LC wel Private Content pluging [login to view URL] and need someone who can help with the custozation of it","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
